net,length_um
_01100_,253.1
_04386_,253.04
ReadData[7],252.63
_02041_,252.29
_03713_,251.5
_01209_,251.43
_01298_,251.11
_01171_,250.07
_01134_,249.36
_01172_,248.94
_03782_,248.64
_05337_,247.27
_04774_,245.95
_01223_,244.9
_05173_,244.65
_04881_,244.5
_05000_,244.22
_04789_,244.07
_01225_,243.02
_04364_,242.92
_04777_,242.59
_01224_,241.69
_01351_,240.24
_01127_,239.8
_04904_,239.66
_01486_,239.15
ReadData[15],239.04
_04880_,238.815
Instr[4],237.35
_01302_,236.72
_05336_,236.18
_05338_,235.84
_01107_,235.23
PC[26],234.82
_01226_,233.955
clknet_4_10_0_clk,232.4
_05339_,230.97
_01737_,230.26
_04879_,230.13
_01231_,230.02
ReadData[29],228.66
_01118_,227.74
_04142_,227.605
_01261_,227.22
_04284_,226.9
_03726_,225.88
_01184_,225.64
_02505_,225.5
PC[12],225.16
_04790_,225.16
_03139_,225.08
_04365_,224.74
_02797_,223.935
_04858_,223.24
_04808_,223.08
_02064_,222.78
_03255_,222.43
Instr[13],222
_01592_,221.72
_04130_,221.24
_02473_,220.32
_04750_,220.155
ReadData[25],219.57
_05417_,219.02
_04988_,216.54
_01206_,215.88
_04425_,214.7
_01133_,214.57
_02996_,214.425
_05566_,213.79
_01203_,213.48
_04863_,213.47
_04385_,213.22
_01185_,213.12
_05604_,212.61
_04743_,210.68
_03087_,209.7
ReadData[1],209.13
_01482_,209.055
_02318_,208.82
_01195_,208.55
_01103_,208.38
_01194_,206.845
_03673_,206.69
_04398_,206.46
_02371_,206.38
_03620_,206.14
_05398_,205.24
_02847_,204.99
_04968_,203.895
_02662_,203.84
_03467_,203.52
_04853_,203.18
_02774_,203
reset,202.52
_01183_,202.48
_01083_,201.76
_04141_,201.28
_04840_,201.26
_01960_,199.7
_04967_,199.35
_03311_,198.5
_05415_,197.86
_05132_,197.6
_02102_,197.06
_01580_,196.89
_03857_,196.47
_04140_,196.14
_05744_,195.92
_03019_,195.865
_01581_,195.6
_03537_,195.49
_01180_,195.06
_04796_,194.92
_05334_,193.56
rvsingle.dp.rf.rf\[8\]\[28\],193.22
_01606_,193.12
_01985_,192.78
_02080_,191.79
DataAdr[17],190.97
_05354_,190.84
_04122_,190.52
_02234_,190.3
WriteData[31],189.11
ReadData[3],188.19
_04897_,188.15
_01837_,188.02
_03586_,187.92
_01958_,187.44
_02257_,187.2
_02529_,187.2
_05232_,186.66
_01683_,186.39
_04971_,185.17
_05271_,184.73
_05315_,184.55
_02402_,184.31
rvsingle.dp.rf.rf\[17\]\[23\],183.41
_05740_,182.64
_04121_,181.58
PC[7],181.56
rvsingle.dp.rf.rf\[4\]\[28\],181.12
_04976_,180.645
_03429_,180.5
_04818_,180.4
_05300_,179.49
_05006_,179.39
rvsingle.dp.rf.rf\[17\]\[4\],178.98
_03497_,178.66
_05344_,178.46
_02462_,178.26
_01176_,178
_04394_,178
DataAdr[1],176.95
_01085_,176.52
_04137_,176.28
_05721_,175.41
_01210_,174.44
_04886_,173.82
_01297_,173.14
_05525_,172.8
_01246_,172.21
_05407_,172.04
_03154_,171.75
PC[29],171.43
_04506_,171.325
PC[1],170.91
_01196_,169.6
_02569_,169.51
_05860_,168.48
rvsingle.dp.rf.rf\[24\]\[28\],167.68
net819,167.6
_02426_,166.84
_02211_,166.83
_05496_,166.82
_05643_,166.3
ReadData[22],165.65
_02261_,165.52
_04814_,164.895
_04641_,164.34
_04795_,164.2
_05304_,163.33
_05713_,162.82
_02010_,162.8
_02427_,162.5
_05763_,162.37
_01197_,160.97
_04782_,159.14
_05368_,158.96
rvsingle.dp.rf.rf\[29\]\[23\],158.78
_05058_,158.725
_06096_,158.53
_03124_,158.12
PC[8],157.6
_04724_,157.41
_04453_,157.34
rvsingle.dp.rf.rf\[0\]\[26\],157.3
_02256_,156.98
_04556_,156.96
_05681_,156.93
_01074_,156.73
_02449_,156.28
_04616_,156.19
_04875_,155.75
_04877_,155.28
_04117_,154.23
rvsingle.dp.rf.rf\[17\]\[29\],153.92
_04760_,153.82
PC[9],153.8
_04468_,153.03
_04422_,152.65
_05428_,152.65
_03181_,152.54
_03217_,152.38
_04380_,152.36
_04306_,152.02
_04969_,151.88
_04862_,151.64
_05487_,151.64
_05757_,151.62
_01110_,151.21
_05456_,150.89
_05377_,150.52
_01120_,150.49
_05898_,149.98
rvsingle.dp.rf.rf\[14\]\[13\],149.92
_04834_,148.82
_05314_,148.74
_03042_,148.56
_05724_,148.38
_05187_,148.33
_05318_,148.17
_01453_,148.02
rvsingle.dp.rf.rf\[8\]\[20\],147.9
rvsingle.dp.rf.rf\[19\]\[30\],147.54
_05639_,147.36
_02198_,146.84
_04884_,145.93
_04859_,145.9
_03110_,145.66
_04534_,145
_02982_,144.58
DataAdr[26],143.83
_04828_,143.54
_04423_,143.44
_05059_,143.12
_04135_,143.03
_03643_,142.24
_02074_,142.06
_04822_,141.98
rvsingle.dp.rf.rf\[0\]\[6\],141.92
_02346_,141.865
_04599_,141.7
_05381_,141.68
_06045_,141.58
rvsingle.dp.rf.rf\[31\]\[23\],141.54
_04927_,141.485
_02912_,141.44
_05831_,140.895
rvsingle.dp.rf.rf\[11\]\[30\],140.33
_04390_,140.16
_01587_,140.08
_04513_,139.74
_04320_,139.7
_01485_,137.52
_05476_,137.5
_05330_,137.28
rvsingle.dp.rf.rf\[9\]\[29\],136.56
_05019_,136.28
rvsingle.dp.rf.rf\[3\]\[6\],136.28
_01065_,136.12
_05307_,135.92
_04479_,135.88
rvsingle.dp.rf.rf\[15\]\[13\],135.76
_02885_,135.48
_04891_,135
_05191_,134.95
_04719_,133.86
_01536_,133.51
_05099_,133.495
_02293_,133.44
_05439_,133.42
_01641_,133.3
rvsingle.dp.rf.rf\[1\]\[30\],133.16
_03142_,133.13
rvsingle.dp.rf.rf\[19\]\[17\],132.92
rvsingle.dp.rf.rf\[3\]\[30\],132.62
_04165_,132.52
_05178_,132.38
_01082_,131.6
_04256_,131.4
rvsingle.dp.rf.rf\[31\]\[3\],131.34
_04846_,131.32
rvsingle.dp.rf.rf\[27\]\[10\],130.74
_01896_,130.68
_02908_,130.68
_04361_,130.59
ReadData[4],130.39
rvsingle.dp.rf.rf\[16\]\[24\],130.34
rvsingle.dp.rf.rf\[14\]\[24\],130.285
_05531_,130.03
_05181_,130
_04452_,129.94
ReadData[9],129.65
_04736_,129.58
_04683_,129.44
_05513_,129.23
_05400_,128.98
_05716_,128.76
